Hayes-9;12.96;785;09.73;1.96;46.15;18.57;40.40;4.77;40.21;8:54.75
Bullock-16;19.03;637;08.28;1.67;77.89;27.28;49.08;2.10;70.67;6:58.58
Luna-14;16.92;404;08.45;1.74;67.90;22.82;29.53;3.15;62.42;4:35.01
Saunders-0;17.52;468;10.25;1.01;50.74;28.75;39.65;5.00;55.33;3:49.37
Velasquez-4;13.18;905;04.06;0.49;76.33;15.77;78.26;4.05;55.26;7:44.85
Vasquez-5;11.33;722;17.07;2.74;81.20;23.39;79.90;6.13;40.52;4:36.36
Rush-16;15.41;297;15.72;0.62;47.81;28.76;58.30;3.47;76.84;4:00.12
Vang-15;17.37;917;22.78;2.58;66.97;13.86;42.89;3.06;24.33;8:08.17
Bradford-16;21.77;547;06.89;1.63;53.18;14.51;79.70;1.44;49.65;7:35.86
Workman-4;13.05;575;19.31;2.37;51.95;22.34;49.87;3.31;5.74;8:10.76
Price-17;11.46;816;03.64;0.91;51.44;20.38;74.58;6.72;94.03;7:36.33
Russell-13;17.10;806;07.55;2.92;79.51;28.04;55.55;1.59;38.56;3:22.46
Wade-19;17.06;430;19.77;0.57;51.95;19.44;39.82;3.72;83.41;8:06.40
Rose-7;11.68;887;03.46;2.08;55.54;21.58;42.67;5.18;56.61;5:16.06
Henry-5;17.05;430;07.12;0.06;70.55;17.78;45.86;3.29;22.88;6:41.80
Hart-3;20.89;301;18.23;0.43;61.92;20.59;34.80;1.60;20.76;3:31.81
Lyons-4;17.18;872;14.40;0.42;74.52;25.33;26.83;6.41;29.38;4:34.49
Sanchez-6;11.25;301;19.94;0.77;49.35;14.37;48.02;1.88;91.47;7:35.13
Rogers-11;19.20;347;22.65;2.23;47.24;16.44;35.51;5.29;24.28;4:26.89
Meadows-16;20.25;407;09.53;1.36;62.44;26.52;16.84;2.17;70.19;3:05.40
